GENE_SYMBOL,logFC,P.Value
UFD1L,-0.2865558,0.00824
DPH3P1,0.282045,0.00825
CTDSPL,0.3570307,0.00825
XLOC_011481,-0.3263108,0.00827
IRF2BP2,0.3779372,0.00829
EPG5,-0.330221,0.00829
ZNF605,-0.3669365,0.0083
ZNF574,-0.2854729,0.00831
CALD1,0.3074363,0.00831
LANCL2,-0.6130473,0.00832
CPLX1,0.4126974,0.00833
PRR22,-0.306132,0.00834
YWHAG,-0.3713674,0.00834
RABL5,-0.5142811,0.00835
LARS2,-0.3618311,0.00835
ZNF137P,-0.3016942,0.00836
FAAH2,0.285716,0.00839
GBX1,0.4645238,0.00839
RUVBL1,-0.5086697,0.0084
YIPF1,-0.2881603,0.0084
CYP39A1,0.4993367,0.00841
LOC401463,-0.3399032,0.00842
RSPH4A,-0.6076106,0.00842
NIPA1,0.3225656,0.00843
SLIT2,-0.2861435,0.00843
BAG2,0.3105908,0.00843
RND2,0.3180387,0.00843
RPP38,-0.3441503,0.00844
PCDH20,-0.3603633,0.00844
ZNF304,-0.3287508,0.00844
ADAMTS9,0.4428188,0.00845
SH3BGR,0.3471732,0.00846
HSPA1B,-0.3468299,0.00847
HAS1,-0.4470062,0.00847
SCG2,0.5255834,0.00847
CLPB,0.3158437,0.00848
SYCE1L,0.3886119,0.00848
INCENP,0.4378817,0.00849
FAM81A,-0.3250155,0.0085
TUBB4B,-0.3584926,0.0085
GALNTL4,0.3997539,0.00853
TRIM13,-0.3125206,0.00853
CAB39,-0.3755041,0.00854
ASB15,0.5619258,0.00855
ISLR2,-1.1894528,0.00855
IFNAR2,0.3938848,0.00857
SHPK,-0.2830088,0.00858
GPI,0.3210986,0.00858
C17orf108,0.4388057,0.00859
POU3F3,-0.4956973,0.00861
EIF1AY,-0.4772024,0.00861
PPP1R12C,-0.3283675,0.00861
ZBTB48,-0.3740794,0.00863
NCAPG2,-0.3973331,0.00863
TMBIM4,0.3662237,0.00863
LOC645752,0.14211815,0.00863155277582588
WDR16,-1.0298611,0.00864
GGCX,-0.3257123,0.00864
RRAGD,0.4261863,0.00865
FLJ90757,0.3280249,0.00865
IGFBP4,0.4457778,0.00866
OMA1,0.4280512,0.00866
CRYBA1,-0.3964946,0.00867
GPM6A,-0.3343179,0.00867
C8orf55,0.4099747,0.00869
PAX2,-0.3762615,0.0087
CERS1,-0.3769044,0.0087
MARCKSL1,-0.5083461,0.0087
SRSF12,0.3100953,0.0087
MAB21L1,-0.4697112,0.00871
SEC22C,-0.3964793,0.00872
C15orf38,0.523855,0.00873
CLEC2B,0.467202,0.00874
ARRDC3,0.4331238,0.00874
XLOC_010891,-0.3808014,0.00874
MCOLN1,-0.3515551,0.00874
BCL11A,0.3027454,0.00874
FUT1,-0.3833597,0.00875
CNOT6,-0.3019742,0.00878
EIF4G1,-0.3559663,0.0088
C17orf76,0.2778307,0.0088
XLOC_010682,-0.3536308,0.00881
ZNF324B,-0.2967242,0.00881
ADAP1,0.2999995,0.00883
CR1L,0.9295233,0.00884
EPAS1,-0.5474746,0.00884
TECTA,-0.4126731,0.00885
POC1B,0.3486752,0.00886
HSFY1P1,-0.6033913,0.00887
NUDT18,-0.3117391,0.00888
PCDHB4,-0.3835826,0.00888
PSMA8,-0.602394,0.00888
SNORD5,0.3743079,0.00889
NCAPD3,-0.294081,0.00889
STK19,-0.3106837,0.00891
TMEM117,-0.4833003,0.00892
LOC100506297,-0.4918404,0.00894
CYB5B,-0.2821104,0.00894
XLOC_004607,0.4257898,0.00896
RNF40,-0.4290505,0.00896
TRIP6,0.3631039,0.00896
NHEJ1,0.2956223,0.00897
FBL,0.3635558,0.00897
PDLIM3,0.4455069,0.00898
KRT14,-0.3963509,0.00898
CCDC134,-0.3451486,0.00898
MACROD1,0.3771692,0.00899
UQCRBP1,0.5555977,0.009
STX8,0.3107045,0.009
SPOCK3,-0.5044027,0.00901
NDUFA9,-0.3123778,0.00901
MAFIP,0.34568,0.00902
C17orf89,0.3377985,0.00902
LOC339290,-0.3631879,0.00903
VWA5B2,-0.3414841,0.00903
ASF1A,-0.5524897,0.00905
NRP2,-0.27085,0.00905
FHIT,0.38903,0.00906
CUZD1,-0.4358759,0.00906
ELMO2,-0.4437842,0.00907
FARP1,0.3024679,0.00908
STXBP3,0.3462349,0.00908
TUBA1A,-0.5084875,0.00909
CEP78,-0.2759478,0.00911
TDP1,0.2931846,0.00912
KIAA1109,0.3323788,0.00912
WASF1,-0.4106574,0.00913
C11orf30,-0.5308748,0.00914
XLOC_l2_007184,0.2808388,0.00914
NRN1,0.2825254,0.00914
POLG2,0.2877688,0.00915
CYBB,-0.2940433,0.00916
BTN2A1,0.3501148,0.00916
BVES,0.3935762,0.00918
STT3A,0.3596983,0.00918
LOC100507246,0.3218102,0.00918
CROCCP2,-0.3807582,0.00919
VSIG10L,-0.3111543,0.00919
C5orf39,0.3145735,0.00919
ZSWIM5,-0.414705,0.0092
SNORD115-4,0.456995,0.00921
RNF122,-0.3583798,0.00921
YY1AP1,-0.3254883,0.00921
LRRC1,-0.5034587,0.00921
RUNDC3B,-0.3163154,0.00921
TBCK,-0.3558862,0.00922
PDIK1L,-0.376256,0.00922
DZANK1,-0.3063942,0.00922
AHCYL1,-0.2900062,0.00922
LOC100506713,0.3414481,0.00925
NDUFA6,0.2917793,0.00926
HPCA,0.2854769,0.00928
CYP2U1,0.3623389,0.00929
KIAA1430,0.3647419,0.00929
C19orf20,-0.5962073,0.0093
BEGAIN,0.4345671,0.00935
ZNF416,-0.3227048,0.00936
NUDCD2,0.3424371,0.00937
SPPL2A,0.3164559,0.00937
SNAR-A3,-0.6093891,0.00938
BBS2,0.3291072,0.00939
ADAM1,-0.4209559,0.00939
SNORA25,0.3187609,0.0094
CNIH3,-0.4668238,0.0094
LOC100506708,-0.5004695,0.0094
PDGFRA,-0.3540576,0.00941
BTNL8,-0.4684923,0.00941
TM9SF1,-0.3011971,0.00942
ATP6V0A1,-0.4153122,0.00942
C7orf30,0.2681095,0.00942
LASP1,-0.3282188,0.00943
ACN9,0.3129521,0.00943
ND1,-0.3666891,0.00944
UBE2L3,-0.2897024,0.00944
ANKRD34A,-0.4996759,0.00944
CHRM4,-0.5313053,0.00946
NCOA1,-0.2827926,0.00946
MAPK8,-0.4609688,0.00947
PRKCB,-0.4570236,0.00948
MTRF1L,-0.3237673,0.00948
OGT,-0.3317098,0.00948
GPR89B,0.2780617,0.00949
CBS,-0.3020701,0.0095
ACTA2,0.6766715,0.00951
SNX14,0.3373347,0.00951
FKRP,-0.4647549,0.00951
TP53BP1,-0.2874414,0.00952
CHMP6,-0.3467871,0.00953
KRI1,0.36981,0.00953
CHST2,-0.3751618,0.00953
LNPEP,-0.425989,0.00953
KCMF1,0.4765391,0.00955
CRB1,0.3190517,0.00956
GYG1,0.4071231,0.00956
PRR14,-0.3648938,0.00957
CATSPER2,0.4142819,0.00958
XLOC_002793,0.3460225,0.00959
RIMBP3,-0.3807306,0.00961
HIGD2A,0.3109483,0.00962
C8orf37,0.3796578,0.00962
XLOC_001338,0.4105935,0.00963
CHRDL1,-0.3750714,0.00963
GALNT13,0.3690184,0.00964
PHF11,0.461724,0.00965
KLHL32,-0.3109808,0.00965
PPP1R14A,0.3004639,0.00965
NUBP1,-0.4101798,0.00968
CALY,-0.2828807,0.00969
TMEM5,0.2722393,0.00969
EIF4EBP2,0.3202899,0.0097
CCDC28A,-0.2823842,0.00971
DPH5,0.3817517,0.00972
KDM4D,0.3008347,0.00973
NDUFAF2,0.3019889,0.00974
PINK1,-0.3705825,0.00975
UPF1,-0.4955224,0.00975
TMEM130,-0.2904531,0.00975
DEFB115,0.5852218,0.00976
OGFR,-0.3224559,0.00976
TMEM31,-0.6267024,0.00977
PRDX2,-0.4164037,0.00979
NEURL2,-0.3830859,0.00983
BDNF,0.4039366,0.00983
COMMD5,-0.3790448,0.00983
SCGN,-0.368053,0.00984
GRHL1,-0.4621985,0.00985
LOC100128252,-0.3203235,0.00987
TFRC,0.3586233,0.00987
MYLIP,0.4010502,0.00988
LILRA5,0.3732234,0.00988
SNRNP70,-0.4154081,0.00989
C8orf12,-0.5231493,0.00989
PCDHGA3,-0.4839982,0.00989
PQLC3,0.2760424,0.00991
LOC388780,0.3430861,0.00992
PANK3,0.3510572,0.00994
PARVA,0.315522,0.00994
TFCP2L1,-0.6611391,0.00995
ADCY7,0.4883911,0.00995
NUDT14,0.3554047,0.00995
GLIS2,-0.2996986,0.00996
MOB3B,-0.2784125,0.00997
DYNLL1,-0.2861549,0.00998
TTC28-AS1,0.2833121,0.00998
CHPT1,0.5998629,0.01
ACAD9,-0.2629124,0.01
PEPD,0.2742945,0.01
TRPC4AP,-0.3357344,0.01
DDT,0.2728406,0.0101
PRC1,-0.40449,0.0101
C4orf7,-0.5002757,0.0101
LOC100507521,-0.3478107,0.0101
ZSCAN22,-0.4519892,0.0101
TFPT,-0.2835351,0.0101
SNX31,0.5660707,0.0101
NAB1,0.3072223,0.0101
CABLES1,0.3193249,0.0101
LOC646626,0.3775117,0.0101
PIH1D1,-0.2988166,0.0101
LRP5L,0.3876022,0.0101
PLXNA4,-0.4157231,0.0102
FAM49B,0.3225002,0.0102
C8orf40,0.3192061,0.0102
NFATC1,0.2735466,0.0102
ATP5G2,0.3000664,0.0102
LOC100507047,-0.2580095,0.0102
C17orf70,-0.4291342,0.0102
MGC2752,-0.2590311,0.0103
ADCY1,0.3442547,0.0103
ZNF383,-0.3141207,0.0103
ADNP,-0.2843803,0.0103
GOLT1B,-0.3151794,0.0103
CDC37,-0.3848969,0.0103
KNCN,-0.3506177,0.0103
AMPH,-0.3577634,0.0103
XLOC_006059,-0.5343729,0.0103
MARC2,0.4435193,0.0103
ZNF629,-0.2682579,0.0103
IGDCC4,0.4147915,0.0104
XLOC_l2_011102,-0.4696751,0.0104
C10orf111,-0.4162424,0.0104
SARM1,-0.3724243,0.0104
PHACTR3,-0.335801,0.0104
BEX5,0.3770567,0.0104
EFNB3,-0.3570433,0.0104
ABCC10,-0.3415406,0.0104
GUCY1A2,0.4799726,0.0104
IMP4,0.2811676,0.0104
LPXN,-0.3409606,0.0104
NRIP1,-0.2845882,0.0104
ZNF434,-0.3351031,0.0104
GRIA3,-0.3780852,0.0104
S100G,-0.6172118,0.0104
RBPJ,-0.2935446,0.0105
ERAP1,-0.3811665,0.0105
DDX21,0.3108041,0.0105
VRK1,-0.3157782,0.0105
IMMP2L,0.2861721,0.0105
CCDC90A,0.294476,0.0105
ZNF516,-0.274291,0.0105
SNORD114-3,0.3105863,0.0105
MUTYH,0.2950135,0.0105
LOC100507448,0.2849292,0.0105
OR52L1,-0.5119979,0.0105
CBY1,-0.3397096,0.0105
PTGIS,-0.4230108,0.0105
KCNK4,-0.5096701,0.0105
CD101,-0.7292175,0.0106
WDR65,-0.5256455,0.0106
F2RL2,0.3469899,0.0106
C17orf69,-0.2947932,0.0106
CUTA,-0.2824381,0.0106
KCTD5,-0.3416099,0.0106
COQ7,-0.2712583,0.0106
C6orf81,-0.5493405,0.0106
ABCC8,0.3435595,0.0107
ZNF764,-0.2806334,0.0107
SNORD60,0.4375172,0.0107
ALDOB,0.5907881,0.0107
YTHDF3,-0.2855823,0.0107
ANKRD54,-0.3049653,0.0107
ITGB1BP3,0.5312774,0.0107
ST3GAL2,0.4004087,0.0107
CKMT1A,0.2692021,0.0107
ZNF583,-0.2893731,0.0107
ALG1,-0.2809191,0.0107
SMAD9,-0.3205088,0.0107
XLOC_013900,0.3783198,0.0108
RAB22A,0.3678837,0.0108
HIST1H3G,-0.6225432,0.0108
PCDHA10,-0.5025498,0.0108
EPOR,0.2839271,0.0108
EFNA1,-0.46199,0.0108
ZNF619,0.3723591,0.0108
PRORSD1P,0.2910568,0.0108
LOC100133669,0.4938174,0.0108
SAMD13,0.2744911,0.0108
ARPC5,-0.2836784,0.0109
SLC35B2,-0.3925269,0.0109
RGL1,-0.4646954,0.0109
SIGLEC15,-0.5005473,0.0109
PCDH17,-0.3690763,0.0109
USPL1,-0.3910435,0.0109
FIGN,-0.4100539,0.0109
SCML1,0.4685802,0.0109
XLOC_l2_001816,-0.2918605,0.011
PRPF38A,-0.2982074,0.011
PPP3CA,-0.4386493,0.011
DARS,0.2677318,0.011
LOC100129794,0.3570598,0.011
CDV3,0.3890243,0.011
RNF217,-0.2682272,0.011
NAGS,-0.3220709,0.011
MICAL3,-0.3738351,0.011
ANXA6,0.4481217,0.011
TAX1BP3,-0.5559522,0.011
QPRT,0.2833598,0.011
LOC283435,0.4311114,0.011
SLC25A41,-0.3289998,0.011
HSPA12B,-0.2725891,0.011
XLOC_006525,-0.3599332,0.011
LOC100652883,-0.612461,0.011
IQCK,-0.320527,0.011
RAP2B,-0.272993,0.011
RBM15B,-0.3036488,0.0111
LOC100130890,0.3450086,0.0111
WDR25,-0.5308272,0.0111
ERVFRD-1,0.6250121,0.0111
CCDC93,0.2849267,0.0111
SNAP29,-0.3179315,0.0111
DUS3L,-0.3774619,0.0111
CCDC65,-0.4871711,0.0112
MITF,0.2908337,0.0112
XLOC_l2_001592,0.2730918,0.0112
UROD,-0.301013,0.0112
OR10K1,0.5618991,0.0112
RASSF2,-0.2589593,0.0112
LUC7L,-0.33922,0.0112
WASH1,-0.3157368,0.0112
LOC100131047,0.4062208,0.0112
UBC,-0.496167,0.0112
PPHLN1,-0.3360238,0.0113
FAM82B,0.3306395,0.0113
FAM108C1,0.2826879,0.0113
ARHGEF40,-0.2645439,0.0113
TAS1R2,0.3811568,0.0113
PDC,-0.5091487,0.0113
TNFAIP8,0.4525039,0.0113
DNAJA1,-0.2795459,0.0113
DIMT1,0.377899,0.0113
ARMC6,-0.2974456,0.0113
GGT1,-0.2591768,0.0113
ZFR2,0.3422991,0.0114
FRMD5,0.3781413,0.0114
LRP2,0.5651744,0.0114
C18orf56,0.4271487,0.0114
MGC23284,0.284957,0.0114
GALM,0.3245256,0.0115
CYR61,0.4042829,0.0115
C9orf140,0.3580989,0.0115
GP1BB,-0.300704,0.0115
FLRT3,-0.5463998,0.0115
KCNIP1,0.3451502,0.0115
ORC1,-0.5689065,0.0115
DDX23,-0.3055109,0.0115
ZBED3,-0.2582217,0.0115
TIRAP,-0.3349191,0.0115
MND1,-0.5482464,0.0116
PPARGC1A,0.4188095,0.0116
LINC00471,0.5345931,0.0116
MOSPD3,-0.2769957,0.0116
RAD52,0.4607185,0.0116
TXN,0.3102774,0.0116
PDZRN3,-0.675428,0.0116
ILF3,-0.2717954,0.0116
FAM78A,0.3697371,0.0116
MUDENG,-0.2677278,0.0116
GMEB2,-0.4087528,0.0116
METTL11A,0.2692944,0.0116
C1orf228,-0.2817681,0.0116
LOC100128822,0.3847659,0.0116
TBCD,0.3824477,0.0116
GFRA3,-0.4150512,0.0116
SIGMAR1,0.2835943,0.0116
COL3A1,0.3656248,0.0117
RPA3,0.3154688,0.0117
DRG1,-0.3782245,0.0117
LOC100506071,0.9426088,0.0117
RIC8A,-0.3794311,0.0117
CX3CL1,-0.279787,0.0117
PCBP3,0.3815029,0.0117
NDST3,-0.3155818,0.0118
RANGAP1,-0.2860729,0.0118
ZKSCAN2,-0.3068246,0.0118
ZFYVE19,0.2977165,0.0118
CALM1,0.306954,0.0118
LPAR3,-0.4848711,0.0118
LSM5,0.3397561,0.0118
SHD,0.2547138,0.0118
CARS,-0.4038892,0.0118
C16orf86,-0.3194643,0.0118
H2AFB3,-0.5758196,0.0118
POLR2E,-0.2868058,0.0118
MED24,-0.4121668,0.0118
DCTPP1,0.2983196,0.0119
ADRA2C,0.3428273,0.0119
FLJ42709,-0.3143809,0.0119
ERVK13-1,-0.3796279,0.0119
PTPDC1,0.2578487,0.0119
USP34,0.2702758,0.0119
ATP5S,0.5034248,0.0119
TAS2R50,-0.4068603,0.0119
HAPLN4,-0.4612917,0.0119
DBC1,-0.5844291,0.0119
CNBP,0.2807825,0.0119
C17orf107,-0.3357769,0.0119
THUMPD2,-0.2870106,0.0119
STX11,-0.4661295,0.0119
CUL3,-0.2783453,0.0119
STMN3,-0.4210481,0.012
PGBD3,-0.3232631,0.012
TTYH2,0.5215313,0.012
ALKBH6,-0.3271946,0.012
DLX2,-0.5682706,0.012
LOC100288615,0.3455213,0.012
PCDHB8,-0.3054536,0.012
C6orf165,-0.548418,0.012
PLK1S1,-0.3404183,0.0121
HBA2,0.277957,0.0121
P2RX2,0.3680493,0.0121
CYFIP2,-0.3316834,0.0121
MAFF,0.3140402,0.0121
RPL13AP3,0.2862503,0.0121
METTL7A,0.7257184,0.0121
GAB3,-0.4975891,0.0121
C1QBP,0.2741658,0.0122
RPS26,-0.2721617,0.0122
PLTP,0.2767515,0.0122
GPRASP2,-0.252385,0.0122
KDM6A,-0.2899277,0.0122
NUP62,-0.2594211,0.0122
PRR24,0.2941861,0.0122
IMMP1L,0.2721216,0.0122
SNORD47,0.3047508,0.0122
NECAP1,-0.372419,0.0122
LRRC28,0.3487677,0.0123
RPL23AP32,-0.4315805,0.0123
ZRSR2,-0.2814149,0.0123
EDNRB,0.6720564,0.0123
HDAC1,0.3940106,0.0123
SCAI,0.2688991,0.0123
KLRG1,-0.2470288,0.0123
KIAA1797,0.2571485,0.0123
DVL3,0.3438682,0.0123
LOC100507653,-0.2822869,0.0123
SIAH3,-0.7076929,0.0123
PRR4,-0.271077,0.0123
TCF7,-0.3431136,0.0123
HSPB8,0.7244837,0.0123
ENTPD2,0.3516705,0.0123
ADCK4,-0.6721292,0.0123
FBRSL1,0.2544225,0.0124
CYB5R3,-0.3296814,0.0124
CENPH,0.5246878,0.0124
SRRM3,-0.4191902,0.0124
MED6,-0.2851054,0.0124
NEUROD6,-1.1264487,0.0125
TMEM209,0.2847864,0.0125
RBM24,0.5746419,0.0125
UHRF1,0.436854,0.0125
ADK,0.3686033,0.0125
SNORD108,-0.5834481,0.0125
ZNF473,-0.288225,0.0125
CHST5,-0.3796259,0.0125
EPB41L4A-AS1,0.2641159,0.0125
SCLT1,0.2428803,0.0126
PILRB,-0.3556391,0.0126
ZFP36L2,0.399236,0.0126
SHFM1,0.3301041,0.0126
PMEL,0.3828655,0.0126
NBPF11,0.310077,0.0126
TYRO3,0.2602461,0.0126
CHMP4A,0.2782382,0.0126
SUPT3H,0.2950213,0.0127
ADAM32,0.3451602,0.0127
ND3,-0.3240227,0.0127
SNHG12,0.2890331,0.0127
CNPY1,0.2655267,0.0127
XLOC_011865,-0.5278794,0.0127
ARFRP1,-0.3148728,0.0127
CDH2,-0.2996646,0.0128
ZNF571,0.2811351,0.0128
FXR1,0.2754241,0.0128
ADPRHL2,-0.4396718,0.0128
ZNF3,-0.2834483,0.0128
BUD31,-0.3420792,0.0128
IMPDH2,0.3960456,0.0128
RNF152,-0.6412466,0.0129
SHROOM1,-0.3502438,0.0129
CNTNAP3,0.3408977,0.0129
HIST1H2BJ,-0.30124,0.0129
CDRT8,-0.6088608,0.0129
UPP1,0.3431674,0.0129
PC,0.3353257,0.013
WNT10B,-0.3000715,0.013
ZFP3,-0.4096176,0.013
BMP1,-0.2884481,0.013
IPO4,0.2936672,0.013
TSPAN31,0.304537,0.013
CDO1,0.3013934,0.013
C11orf51,-0.3034664,0.013
SETD5,-0.269484,0.013
KIAA0247,0.2757912,0.013
HSD17B12,0.3261823,0.013
XLOC_l2_013751,-0.3202418,0.013
RUSC2,-0.3109383,0.013
SYTL5,-0.5201201,0.013
CCDC87,-0.4595556,0.013
GPR64,-0.3887998,0.013
ZYX,0.2878716,0.013
SH3GL2,0.2554197,0.013
BAI2,0.3322209,0.013
ENHO,0.5162375,0.0131
ZBTB2,-0.568158,0.0131
SF3B2,-0.3182774,0.0131
PHYHIP,0.4894096,0.0131
LOC100270680,0.4324629,0.0131
DAP,0.3492975,0.0131
FAM104A,-0.2598741,0.0131
MAOA,-0.449433,0.0131
LOC728158,0.4279209,0.0131
C8orf73,-0.3397867,0.0132
HNRNPA1L2,-0.2988145,0.0132
SUGP2,-0.2743648,0.0132
RCCD1,0.2919387,0.0132
TXNDC5,0.3359311,0.0132
DROSHA,-0.2448948,0.0132
EIF2C2,0.3510323,0.0132
WDR90,-0.3179263,0.0132
LOC100128288,-0.3230113,0.0132
SNORD115-5,0.5203189,0.0132
SCARNA10,0.5100754,0.0132
TKTL2,-0.4046642,0.0132
ZNF408,-0.4190972,0.0133
XIRP1,-0.863481,0.0133
PGM3,0.2538642,0.0133
C5orf55,-0.2987198,0.0133
TRIM65,0.4318888,0.0133
LPPR1,-0.3855926,0.0133
MTSS1L,0.5162603,0.0133
ZER1,-0.2728973,0.0133
SCARNA17,0.4031964,0.0133
PCCB,0.3322807,0.0133
GLA,-0.2911606,0.0133
RPL17,0.309107,0.0133
GRIK5,-0.4793504,0.0133
FAM65B,0.2656309,0.0133
DHX40,-0.2847364,0.0134
MRFAP1,-0.4861271,0.0134
ICAM1,0.3345327,0.0134
ETFB,-0.361948,0.0134
VKORC1L1,-0.2641346,0.0134
TPK1,0.2835394,0.0134
VRK3,-0.2563843,0.0134
PIGL,0.2752815,0.0134
CPT2,-0.382237,0.0135
MRPS33,0.273046,0.0135
ZBED5,-0.2598616,0.0135
RNASEH2B,0.4549475,0.0135
C12orf10,-0.2577956,0.0135
A2M,0.7595589,0.0135
NKD1,0.3854165,0.0135
HLA-E,0.5582356,0.0135
GLT1D1,-0.4373848,0.0135
SLC16A5,-0.4217781,0.0136
LOC100505776,-0.4349542,0.0136
OPRL1,-0.3479335,0.0136
ND2,-0.5202897,0.0136
MTFR1,-0.4005051,0.0136
LOC646976,-0.4682778,0.0136
MRPL3,0.2660154,0.0136
PAX4,-0.2900453,0.0137
XLOC_001417,-0.3503041,0.0137
CCDC69,0.2687388,0.0137
GLO1,0.3623769,0.0137
DNAJC9,-0.2715343,0.0137
LRP1,-0.4008964,0.0137
NAV3,-0.3567845,0.0137
TAT,-0.3088788,0.0137
CDK19,-0.3093586,0.0137
FAM26F,-0.34797,0.0137
FLRT1,0.6466888,0.0137
ANKRD35,-0.4041422,0.0137
ZNF140,-0.585366,0.0137
KIAA1239,0.4566588,0.0138
DCAF7,-0.2495072,0.0138
DBH,-0.6186169,0.0138
PITPNC1,-0.2556652,0.0138
CHMP1A,-0.4076091,0.0138
STAC3,0.3350471,0.0138
MRVI1-AS1,0.3357002,0.0138
KIFC2,-0.3828202,0.0138
ARHGEF3,-0.3408966,0.0139
DNAJC10,0.3183918,0.0139
NMU,0.4512377,0.0139
RRAS,0.3208458,0.0139
LOC100507333,-0.2949001,0.0139
TTF1,-0.2504768,0.0139
PCDHB17,-0.4308146,0.0139
GNL3L,-0.2871536,0.0139
SIRT5,0.2939216,0.0139
YAF2,-0.3408949,0.0139
SNORD35B,-0.2951605,0.014
CS,0.2527734,0.014
FGF9,-0.4127604,0.014
TGFBR1,-0.2362933,0.014
CHST10,-0.4693974,0.014
SLC22A23,0.2684233,0.014
LINC00229,-0.5976719,0.014
ZBTB7C,0.2706146,0.0141
SRPK3,0.3469369,0.0141
KLHDC8B,-0.6629921,0.0141
CARD9,0.3951183,0.0141
HS6ST1,0.5102646,0.0141
RNF141,0.2588104,0.0141
DNER,-0.2787578,0.0141
SPATA18,0.5045106,0.0141
HIST1H3F,-0.4997105,0.0141
MED17,-0.3361204,0.0141
TMEM185A,-0.2840989,0.0142
COPS5,-0.251422,0.0142
EIF3M,0.3760856,0.0142
VPS45,-0.3176068,0.0142
SLC37A4,-0.2486581,0.0142
ZNF498,-0.3945035,0.0142
IDS,-0.2809421,0.0143
SUN2,-0.6228902,0.0143
LACTB2,0.3278633,0.0143
EXOSC7,0.2996071,0.0143
C19orf48,0.2543948,0.0143
SLC1A6,-0.5370809,0.0143
NPEPL1,-0.4036206,0.0143
USP54,-0.2693009,0.0144
SAP30BP,-0.2895134,0.0144
CCDC92,0.3033433,0.0144
AHSP,-1.0553814,0.0144
FAAH,-0.2804565,0.0144
ACAD10,-0.4199047,0.0144
BRP44L,0.30835,0.0144
HRAS,0.2538392,0.0144
TMEM42,0.2400678,0.0144
LOC100507563,0.4448193,0.0144
GSTO2,0.3931774,0.0144
SLC44A3,0.4365606,0.0144
CLDN23,0.2686745,0.0144
C20orf134,-0.4720158,0.0145
OSCP1,-0.3274164,0.0145
ZNF75D,-0.3943404,0.0145
HAUS4,0.351862,0.0145
LAMC1,0.3240508,0.0145
DGKD,0.2516333,0.0145
BSDC1,-0.3404122,0.0145
LRRN2,-0.2988262,0.0145
NPTXR,-0.3224533,0.0145
PLCB2,0.3272609,0.0146
WSB2,0.265905,0.0146
ERCC3,-0.2967544,0.0146
BRPF1,-0.3432723,0.0146
LTA4H,0.3435187,0.0146
SMARCE1,-0.2634621,0.0146
SECTM1,0.3901887,0.0146
IVD,0.4312602,0.0146
TMEM147,0.2470243,0.0146
PADI1,0.4888388,0.0147
RDX,-0.2557238,0.0147
OR6Q1,0.3099352,0.0147
IGFLR1,-0.2519516,0.0147
PRSS8,0.3186368,0.0147
MSMO1,0.409305,0.0147
OR7D2,0.576007,0.0147
TMEM132A,-0.3244048,0.0147
CLSTN2,-0.4588276,0.0147
USP13,0.2963258,0.0147
RXRB,-0.3208537,0.0147
FAF2,-0.2841679,0.0148
USP31,0.2402037,0.0148
NCOA6,0.3249998,0.0148
LINGO2,-0.4048258,0.0148
TET1,0.2755495,0.0148
C22orf46,-0.4923534,0.0148
CDK20,-0.2364627,0.0148
SERF1A,0.334159,0.0148
LOC100505624,-0.5797057,0.0148
HDAC6,-0.281899,0.0148
LRIG1,0.3208865,0.0149
HBS1L,-0.3484497,0.0149
NUP155,0.3157658,0.0149
MCF2L-AS1,0.3381815,0.0149
GPR19,-0.3324164,0.0149
ADAM23,0.2992318,0.0149
LUC7L3,0.3857069,0.0149
KIAA1467,0.2542556,0.0149
NANS,0.3784841,0.015
SAMD3,0.3232132,0.015
CFDP1,0.3172442,0.015
PMPCB,-0.3011336,0.015
C6orf70,0.2737259,0.015
WHAMM,0.2972058,0.015
SPAG5-AS1,-0.3445308,0.015
LOC100507575,0.3560141,0.015
NSF,-0.3939762,0.0151
SPRY4,0.3613568,0.0151
ZNF502,-0.2423133,0.0151
ODZ2,0.5385162,0.0151
SCPEP1,0.2733496,0.0151
DLG3,-0.2779745,0.0151
CIDEA,-0.3464666,0.0151
PSMC1,-0.3046732,0.0151
RHOBTB2,-0.2602735,0.0151
RRP36,-0.2480214,0.0151
SLC26A11,-0.3116122,0.0151
XLOC_010690,0.4538313,0.0151
EGLN2,-0.4382752,0.0151
ANKHD1-EIF4EBP3,-0.3085193,0.0152
LRRC4B,-0.6465434,0.0152
CDCA7,0.2573839,0.0152
GPR63,-0.4922336,0.0152
MADD,-0.450796,0.0152
UQCRC2,0.302877,0.0152
NDUFB5,0.2582818,0.0153
YIF1B,-0.3210646,0.0153
ERO1L,0.2726458,0.0153
LAT,-0.2978644,0.0153
CCNE2,-0.5302415,0.0153
WDYHV1,0.3163128,0.0153
LOC100287616,0.3255504,0.0153
DECR2,-0.3605768,0.0153
FAM134A,-0.2396647,0.0154
MAPK9,-0.3072114,0.0154
ZNF726,-0.2614228,0.0154
FCHO1,-0.256005,0.0154
ATP9A,-0.4499427,0.0154
GRRP1,-0.2960674,0.0154
PSEN1,-0.2683157,0.0154
ARFGAP2,-0.2824717,0.0154
DDX51,-0.365804,0.0154
USP12,-0.3408008,0.0154
FKBP3,-0.2720811,0.0154
RPL39L,0.3289131,0.0154
ZNF536,-0.4252741,0.0155
IDH1,-0.2918239,0.0155
ZNF534,0.4795084,0.0155
NOL3,0.3337243,0.0155
ATP5H,-0.291882,0.0155
CNN1,0.4530741,0.0155
C4orf50,0.45298,0.0156
DDAH1,0.3118773,0.0156
FGF18,-0.4044012,0.0156
VCX2,-0.2727648,0.0156
